파일명,라벨,관절0_x,관절0_y,관절0_vis,관절1_x,관절1_y,관절1_vis,관절2_x,관절2_y,관절2_vis,관절3_x,관절3_y,관절3_vis,관절4_x,관절4_y,관절4_vis,관절5_x,관절5_y,관절5_vis,관절6_x,관절6_y,관절6_vis,관절7_x,관절7_y,관절7_vis,관절8_x,관절8_y,관절8_vis,관절9_x,관절9_y,관절9_vis,관절10_x,관절10_y,관절10_vis,관절11_x,관절11_y,관절11_vis,관절12_x,관절12_y,관절12_vis,관절13_x,관절13_y,관절13_vis,관절14_x,관절14_y,관절14_vis,관절15_x,관절15_y,관절15_vis,관절16_x,관절16_y,관절16_vis,관절17_x,관절17_y,관절17_vis,관절18_x,관절18_y,관절18_vis,관절19_x,관절19_y,관절19_vis,관절20_x,관절20_y,관절20_vis,관절21_x,관절21_y,관절21_vis,관절22_x,관절22_y,관절22_vis,관절23_x,관절23_y,관절23_vis,관절24_x,관절24_y,관절24_vis,관절25_x,관절25_y,관절25_vis,관절26_x,관절26_y,관절26_vis,관절27_x,관절27_y,관절27_vis,관절28_x,관절28_y,관절28_vis,관절29_x,관절29_y,관절29_vis,관절30_x,관절30_y,관절30_vis,관절31_x,관절31_y,관절31_vis,관절32_x,관절32_y,관절32_vis
posture(144)_jpg.rf.5qJlPdHs3lkvwDlVNPGO.jpg,good,0.529464,0.270581,0.988289,0.542478,0.248592,0.986731,0.547159,0.247137,0.987589,0.552776,0.245458,0.990529,0.538564,0.248864,0.985458,0.540457,0.247529,0.985073,0.542813,0.245777,0.99117,0.590505,0.250855,0.980755,0.580503,0.24903,0.988455,0.544646,0.288122,0.988874,0.538922,0.288624,0.977492,0.626383,0.347501,0.999018,0.618781,0.344547,0.98985,0.462409,0.462605,0.988967,0.511528,0.471538,0.038559,0.260825,0.496395,0.964329,0.403125,0.560212,0.029857,0.21227,0.491089,0.946948,0.391613,0.571129,0.040758,0.206851,0.483507,0.944362,0.384081,0.565529,0.038502,0.223503,0.488735,0.918378,0.388466,0.56309,0.04166,0.555551,0.644134,0.996722,0.557596,0.620746,0.990612,0.260295,0.657921,0.949894,0.316906,0.654789,0.359458,0.259612,0.890532,0.928857,0.305521,0.868557,0.403957,0.292736,0.921152,0.928335,0.344825,0.915654,0.498947,0.154791,0.934588,0.880428,0.235874,0.937204,0.429893
posture(828)_jpg.rf.68g7llLWSHSOl3UOKB0V.jpg,bad,0.440517,0.408151,0.999988,0.428497,0.391369,0.999986,0.428282,0.390809,0.999984,0.427588,0.390331,0.999991,0.420291,0.393552,0.99998,0.413849,0.39479,0.999973,0.406784,0.396168,0.999973,0.397655,0.400861,0.99999,0.375373,0.409753,0.999959,0.442329,0.426471,0.999974,0.431362,0.429016,0.999976,0.442435,0.488248,0.999987,0.337095,0.501854,0.999693,0.555303,0.555287,0.75725,0.416933,0.607615,0.928486,0.684306,0.575071,0.939841,0.599164,0.64224,0.788415,0.722267,0.57068,0.91629,0.638679,0.660348,0.723555,0.723941,0.567163,0.920975,0.646833,0.643097,0.723276,0.712792,0.570803,0.904883,0.633301,0.63561,0.722489,0.517594,0.680397,0.999534,0.474683,0.717113,0.99909,0.735415,0.700609,0.448272,0.743049,0.737799,0.888203,0.765453,0.87245,0.360338,0.767473,0.922402,0.889406,0.743139,0.901676,0.40626,0.728141,0.951223,0.814395,0.848036,0.933205,0.347015,0.847708,0.977687,0.799655
posture(320)_jpg.rf.5WYripujPvSQq1jIPgj2.jpg,bad,0.48577,0.423694,0.999345,0.492455,0.40425,0.999142,0.491082,0.402588,0.998887,0.487616,0.399085,0.999304,0.494688,0.401983,0.999237,0.492217,0.395393,0.99895,0.492142,0.391665,0.999343,0.472044,0.372986,0.999257,0.478487,0.369305,0.998995,0.469206,0.427425,0.998019,0.471744,0.424673,0.998285,0.397864,0.400823,0.998855,0.443862,0.368098,0.999973,0.525064,0.477142,0.182961,0.626,0.429587,0.988688,0.65312,0.542347,0.224295,0.769663,0.509423,0.962898,0.67591,0.540731,0.221293,0.816571,0.511873,0.929662,0.683463,0.539952,0.217046,0.818494,0.51106,0.924885,0.672269,0.543489,0.220945,0.796218,0.513474,0.904147,0.321986,0.656299,0.999755,0.352526,0.663056,0.999923,0.565754,0.673138,0.174514,0.621979,0.672812,0.974752,0.61638,0.88304,0.307789,0.655332,0.902727,0.974198,0.59372,0.915664,0.403361,0.630197,0.934732,0.96148,0.689263,0.923492,0.421953,0.752646,0.936865,0.94887
posture(163)_jpg.rf.w0zAaeJmcZfvcPmPQi2N.jpg,good,0.530604,0.195808,0.999865,0.544591,0.16813,0.99994,0.549693,0.166899,0.999931,0.554684,0.165972,0.999954,0.540538,0.168385,0.999942,0.542598,0.167189,0.999931,0.545176,0.165948,0.999959,0.593526,0.173787,0.999935,0.585716,0.171743,0.999963,0.549061,0.220311,0.999912,0.544031,0.219786,0.999818,0.613774,0.282946,0.999975,0.658939,0.283796,0.999619,0.566216,0.466693,0.991212,0.608716,0.465455,0.044554,0.352753,0.474892,0.983019,0.477778,0.553667,0.040375,0.300074,0.4755,0.973392,0.45561,0.566912,0.052562,0.288279,0.463752,0.971705,0.445019,0.554575,0.050207,0.30665,0.465635,0.955917,0.450771,0.55029,0.054266,0.593377,0.611105,0.999966,0.658662,0.616562,0.99962,0.255121,0.657303,0.990723,0.47028,0.674557,0.247017,0.281612,0.949577,0.980142,0.513892,0.88346,0.303268,0.320467,0.975707,0.984744,0.553076,0.914772,0.395427,0.186514,1.002129,0.957837,0.447437,0.945606,0.31157
sipotion_1749658652880_slouch_0_76_jpg.rf.bKXvTR22eqlMc3ttkFhT.jpg,bad,0.406994,0.389926,0.999345,0.411282,0.364102,0.99957,0.414675,0.362914,0.999552,0.418544,0.361695,0.999606,0.410047,0.363601,0.999496,0.412341,0.361896,0.999482,0.415212,0.359924,0.999606,0.457008,0.361249,0.999388,0.455851,0.355662,0.999698,0.428322,0.41285,0.999683,0.426393,0.412514,0.999606,0.512889,0.473517,0.999762,0.559283,0.413955,0.998997,0.461934,0.634352,0.84974,0.523766,0.554676,0.056285,0.400696,0.538964,0.801119,0.43315,0.525405,0.061805,0.37408,0.534341,0.767978,0.406657,0.530505,0.094462,0.385012,0.516413,0.765996,0.402917,0.525428,0.091936,0.398859,0.520724,0.748596,0.411083,0.52549,0.096792,0.632857,0.752965,0.995164,0.648239,0.698901,0.989088,0.362566,0.734639,0.831662,0.406725,0.70205,0.144426,0.358646,0.97386,0.64223,0.369433,0.890477,0.087633,0.396705,1.017125,0.599559,0.394565,0.926129,0.209971,0.227569,0.984476,0.608457,0.251662,0.914403,0.157355
posture(747)_jpg.rf.6dzuOUAL7YbKbsXqjoMP.jpg,good,0.515448,0.33415,0.994888,0.530707,0.309939,0.994849,0.536805,0.309084,0.995243,0.543216,0.308062,0.996007,0.524221,0.309967,0.993782,0.525182,0.309041,0.993137,0.526554,0.30777,0.995722,0.578546,0.31626,0.994017,0.56262,0.314483,0.995337,0.530942,0.352127,0.995259,0.522205,0.352731,0.990064,0.609697,0.412223,0.99883,0.596702,0.413331,0.994345,0.447892,0.531205,0.979186,0.470801,0.53081,0.074351,0.242311,0.562148,0.944693,0.335614,0.613411,0.069016,0.188708,0.560984,0.922077,0.315126,0.620345,0.091361,0.182599,0.547401,0.919806,0.308219,0.615725,0.088967,0.200956,0.555688,0.893429,0.316758,0.615653,0.09684,0.534346,0.708978,0.996785,0.544558,0.694781,0.992183,0.227815,0.71783,0.958136,0.338878,0.776139,0.382512,0.244581,0.943872,0.908245,0.308729,0.957111,0.419465,0.281801,0.973755,0.91707,0.370768,1.016125,0.472737,0.147222,0.978558,0.81957,0.267492,1.032342,0.381155
posture(746)_jpg.rf.tzDbUhzDHsHfb5i80wZJ.jpg,good,0.513709,0.315972,0.987362,0.52468,0.294866,0.98705,0.52898,0.293833,0.986997,0.534034,0.292567,0.991036,0.5209,0.295179,0.985119,0.52231,0.29431,0.982737,0.523963,0.293126,0.990665,0.56665,0.297625,0.982365,0.556503,0.296463,0.986223,0.526159,0.331074,0.988402,0.520954,0.331959,0.974218,0.595774,0.390241,0.998804,0.582075,0.383486,0.987993,0.44412,0.494579,0.983121,0.460434,0.481799,0.057444,0.257919,0.523558,0.958492,0.323079,0.553438,0.050558,0.215933,0.519382,0.942835,0.302172,0.554257,0.068775,0.212341,0.510866,0.941298,0.292718,0.552159,0.067524,0.227241,0.515373,0.913563,0.301157,0.5547,0.07269,0.531186,0.653699,0.997474,0.531823,0.631063,0.990515,0.264875,0.679245,0.929919,0.323166,0.682911,0.302907,0.260766,0.894084,0.926303,0.312053,0.86762,0.328599,0.287347,0.929631,0.932823,0.340824,0.895436,0.423352,0.168901,0.918236,0.877773,0.27375,0.9246,0.349893
posture(228)_jpg.rf.627Sh5Oy9dmIMv9Amt7H.jpg,bad,0.309929,0.280545,0.991144,0.309611,0.24121,0.995585,0.313162,0.239,0.995588,0.316925,0.237207,0.996557,0.308297,0.239857,0.99161,0.310523,0.236796,0.990497,0.313017,0.234242,0.993402,0.35457,0.227864,0.992277,0.35087,0.224455,0.994198,0.335031,0.296644,0.992564,0.333977,0.295956,0.989604,0.410247,0.354135,0.998452,0.490189,0.29398,0.989876,0.244915,0.551864,0.943673,0.423986,0.430681,0.05337,0.078029,0.472165,0.882105,0.242345,0.424119,0.121109,0.048285,0.463128,0.859371,0.202194,0.428545,0.188947,0.048737,0.435329,0.873595,0.199147,0.412649,0.191295,0.073276,0.444502,0.858794,0.214282,0.417806,0.181224,0.540064,0.739921,0.979222,0.563141,0.677685,0.955525,0.143974,0.7436,0.816261,0.210652,0.68642,0.200682,0.292251,1.003096,0.553102,0.328744,0.916066,0.137424,0.350503,1.021319,0.606689,0.372965,0.939085,0.248398,0.245492,1.111592,0.426242,0.300295,1.006461,0.148935
posture(497)_jpg.rf.uD3gMw78rOs2r9DH3IKE.jpg,good,0.495488,0.152198,0.996521,0.500662,0.131915,0.99774,0.5044,0.130573,0.997763,0.50883,0.128832,0.998451,0.496354,0.132717,0.996833,0.496776,0.132123,0.996309,0.497552,0.131257,0.997958,0.543545,0.127551,0.997805,0.532432,0.128712,0.998183,0.513676,0.168224,0.997278,0.508453,0.168675,0.994297,0.598344,0.243097,0.999227,0.581272,0.235253,0.996937,0.490307,0.373482,0.977034,0.481862,0.334367,0.108507,0.330543,0.37429,0.969282,0.358654,0.372893,0.123855,0.287345,0.382083,0.96348,0.335563,0.372397,0.179351,0.281553,0.372208,0.963535,0.324901,0.364826,0.187372,0.299785,0.369761,0.943868,0.331085,0.370235,0.197363,0.628247,0.500326,0.999433,0.609924,0.478778,0.998921,0.388025,0.55077,0.960283,0.436359,0.516123,0.28922,0.540407,0.706554,0.936932,0.556785,0.68885,0.390314,0.579605,0.71809,0.9513,0.585726,0.70344,0.516222,0.512321,0.785265,0.910893,0.526587,0.759472,0.411132
posture(40)_jpg.rf.3yAh2e9cIcfWAsJ3jO8s.jpg,good,0.306199,0.143065,0.999989,0.295104,0.124286,0.999987,0.294834,0.123732,0.99998,0.29428,0.12316,0.999988,0.288218,0.124976,0.999991,0.282535,0.125115,0.99999,0.276444,0.125699,0.999994,0.268898,0.131713,0.999984,0.248045,0.137441,0.999993,0.301652,0.16526,0.999972,0.291296,0.165448,0.999991,0.280574,0.261126,0.999707,0.216894,0.255717,0.999985,0.340569,0.394905,0.070985,0.267867,0.404988,0.993006,0.464929,0.427335,0.135308,0.436702,0.412821,0.974251,0.50834,0.431051,0.173033,0.485738,0.426696,0.956791,0.516801,0.415835,0.17798,0.50053,0.412163,0.954661,0.502301,0.415265,0.185366,0.474207,0.407341,0.940904,0.315484,0.53859,0.999553,0.286515,0.547072,0.999654,0.551225,0.557499,0.11197,0.568174,0.549694,0.955389,0.537149,0.79749,0.291027,0.550515,0.812416,0.972063,0.506273,0.829501,0.498159,0.514347,0.847972,0.971105,0.644246,0.844934,0.400836,0.656978,0.856289,0.956033
sipotion_1749658615050_slouch_0_60_jpg.rf.kQE7TAedxKJwQLab0GtD.jpg,bad,0.595861,0.35757,0.999203,0.6138,0.337095,0.999329,0.616885,0.339015,0.999283,0.619703,0.341184,0.999434,0.609731,0.330612,0.998928,0.611346,0.328441,0.998758,0.616835,0.32737,0.999193,0.658822,0.360886,0.999155,0.647498,0.342883,0.99915,0.606736,0.391112,0.999688,0.601153,0.383017,0.999446,0.660978,0.541477,0.999609,0.704604,0.423812,0.999097,0.545044,0.750154,0.98719,0.620241,0.570382,0.241227,0.421675,0.69882,0.894755,0.47924,0.626476,0.199117,0.40256,0.710147,0.799674,0.44131,0.622312,0.217963,0.407772,0.68082,0.811987,0.434242,0.617681,0.235716,0.425401,0.66569,0.776507,0.435612,0.63358,0.252383,0.583058,0.829246,0.993678,0.615184,0.750901,0.976212,0.339158,0.770258,0.860633,0.392251,0.703477,0.169215,0.284892,0.948331,0.657822,0.317052,0.886249,0.089092,0.300151,0.997417,0.572599,0.325786,0.933815,0.134679,0.173,0.930058,0.508294,0.21136,0.876092,0.118349
posture(285)_jpg.rf.xBjcs7dL2F6TZUxHI6Ip.jpg,bad,0.190544,0.315347,0.999981,0.177671,0.293968,0.999941,0.176359,0.293474,0.999924,0.174118,0.292865,0.999963,0.169749,0.296771,0.999963,0.162541,0.298496,0.999949,0.154029,0.300281,0.999955,0.130024,0.310256,0.999964,0.114621,0.318747,0.999934,0.187718,0.341696,0.999959,0.177166,0.344743,0.999977,0.15224,0.413396,0.999947,0.086759,0.470252,0.999859,0.342577,0.464962,0.863125,0.240552,0.615325,0.993956,0.529111,0.470298,0.903804,0.457346,0.650116,0.97207,0.585733,0.476864,0.839911,0.505414,0.660455,0.945478,0.584867,0.471177,0.85639,0.517813,0.648335,0.948347,0.565979,0.475462,0.847278,0.50142,0.644968,0.943709,0.321397,0.676463,0.994231,0.292766,0.728656,0.994611,0.611189,0.686812,0.174699,0.647337,0.728623,0.84557,0.511322,0.909858,0.085006,0.535454,0.934982,0.812051,0.467526,0.941946,0.144642,0.482408,0.968475,0.840422,0.590974,0.973101,0.096328,0.619077,0.996958,0.739718
posture(151)_jpg.rf.xODrWx4tckGOh7dswouj.jpg,good,0.580764,0.27694,0.983689,0.595333,0.256705,0.987658,0.598426,0.256374,0.987134,0.601627,0.256163,0.990296,0.595386,0.256119,0.987098,0.598282,0.255321,0.987406,0.601213,0.254661,0.994398,0.635052,0.267332,0.982753,0.634521,0.265978,0.996497,0.58848,0.301262,0.990472,0.588175,0.300813,0.988145,0.606756,0.36206,0.998734,0.684289,0.3729,0.996532,0.437624,0.459551,0.994855,0.518774,0.49623,0.106861,0.253993,0.517155,0.986322,0.377969,0.528954,0.110579,0.209458,0.510912,0.978612,0.356115,0.527751,0.130697,0.207332,0.50198,0.977669,0.358664,0.521746,0.128271,0.221032,0.506828,0.96698,0.356697,0.524808,0.132647,0.560826,0.642828,0.998263,0.624224,0.65506,0.994821,0.286281,0.655881,0.972545,0.400558,0.679374,0.32914,0.311972,0.879354,0.946359,0.390381,0.880604,0.331199,0.347725,0.923732,0.959152,0.414861,0.911494,0.454448,0.229277,0.920022,0.885252,0.331519,0.928356,0.311653
posture(496)_jpg.rf.xTyo715sMsNpulwvjTOv.jpg,good,0.506475,0.159271,0.997304,0.503031,0.138921,0.99549,0.501383,0.137716,0.995048,0.498997,0.136288,0.997281,0.498733,0.13796,0.996719,0.493835,0.135944,0.996279,0.488793,0.133741,0.997061,0.460043,0.131872,0.997509,0.456459,0.13106,0.995588,0.491318,0.176839,0.994101,0.4862,0.175197,0.996215,0.397938,0.232041,0.998919,0.393683,0.24082,0.999175,0.488793,0.346259,0.124033,0.489413,0.369383,0.963517,0.598037,0.377582,0.194774,0.637801,0.375424,0.947657,0.634725,0.377012,0.269995,0.681047,0.380488,0.935057,0.638237,0.36869,0.286896,0.675682,0.368185,0.933902,0.636609,0.381443,0.29225,0.660831,0.367691,0.898152,0.380401,0.483917,0.992448,0.378451,0.504193,0.99183,0.564749,0.528763,0.087225,0.608674,0.547349,0.890098,0.444365,0.661445,0.134528,0.458312,0.69496,0.854606,0.405205,0.670645,0.265057,0.418599,0.702118,0.902543,0.471215,0.721218,0.211647,0.507304,0.7469,0.80429
posture(198)_jpg.rf.xrBdfbiX6Tq6xLJPVz84.jpg,bad,0.405154,0.376999,0.998112,0.421781,0.357554,0.9988,0.427346,0.357632,0.998851,0.433405,0.357666,0.998998,0.416685,0.356881,0.999148,0.418484,0.356501,0.999135,0.420885,0.355977,0.999165,0.460107,0.367594,0.997842,0.451905,0.362718,0.999245,0.419306,0.397168,0.997014,0.414386,0.396194,0.997886,0.455527,0.486272,0.998348,0.520893,0.422912,0.998634,0.345634,0.577804,0.464179,0.441652,0.53377,0.025626,0.340639,0.546413,0.28381,0.364767,0.593563,0.055456,0.342571,0.544735,0.2712,0.354139,0.612642,0.089942,0.356842,0.538989,0.277547,0.356923,0.610056,0.090841,0.358502,0.540382,0.326965,0.360601,0.603724,0.102707,0.621217,0.691038,0.999099,0.637131,0.651382,0.999269,0.377189,0.658613,0.945942,0.405897,0.621297,0.154099,0.329423,0.855058,0.966517,0.380059,0.837324,0.476161,0.347496,0.902173,0.936639,0.399681,0.871151,0.453302,0.243579,0.863437,0.939137,0.317708,0.879466,0.499918
posture(486)_jpg.rf.uMv518z3H8glQoiv2uN8.jpg,good,0.482307,0.115051,0.998435,0.469896,0.093481,0.997487,0.468181,0.092586,0.997387,0.466204,0.091756,0.998157,0.466845,0.094268,0.997963,0.463118,0.093989,0.99763,0.459183,0.093922,0.998056,0.438885,0.100511,0.996986,0.434339,0.103127,0.998384,0.475453,0.137835,0.994334,0.470821,0.138161,0.99703,0.415888,0.235343,0.997826,0.396623,0.228645,0.999558,0.429172,0.391475,0.028134,0.440519,0.4028,0.96276,0.512974,0.435759,0.087214,0.572735,0.380222,0.880773,0.531168,0.422412,0.134302,0.613489,0.399195,0.872912,0.554167,0.41094,0.138473,0.617892,0.384306,0.871264,0.530077,0.399319,0.135087,0.604244,0.377891,0.842378,0.412609,0.575353,0.985676,0.380053,0.585464,0.989375,0.541577,0.73581,0.401126,0.514423,0.799883,0.949937,0.431218,0.871844,0.338984,0.322122,0.887343,0.794315,0.39817,0.879859,0.345189,0.282798,0.871596,0.695086,0.449438,0.935858,0.374159,0.314268,0.976174,0.739816
sipotion_1749658636068_slouch_0_58_jpg.rf.l9pUzvbZrtM4T1LpP3Mh.jpg,good,0.406219,0.267887,0.99939,0.42071,0.24182,0.999533,0.423717,0.24249,0.999611,0.426581,0.243365,0.999603,0.420085,0.240926,0.99933,0.422944,0.24099,0.999324,0.426001,0.24124,0.999424,0.464046,0.2611,0.999622,0.465315,0.259715,0.999733,0.414218,0.296803,0.999575,0.415159,0.295588,0.999506,0.456255,0.408885,0.999811,0.52824,0.387138,0.999534,0.306436,0.551401,0.934739,0.417534,0.564228,0.133884,0.346734,0.426461,0.892755,0.328959,0.604184,0.199745,0.345251,0.382603,0.867344,0.30758,0.621108,0.246894,0.368318,0.37495,0.873515,0.310154,0.609874,0.253709,0.375084,0.393737,0.875397,0.319831,0.607364,0.257962,0.434197,0.782845,0.998872,0.485834,0.756289,0.997987,0.162799,0.809103,0.946457,0.263583,0.7829,0.216972,0.114096,1.041002,0.76646,0.219864,0.965129,0.110049,0.13745,1.087914,0.766522,0.23635,1.006293,0.208226,-0.000644,1.057786,0.630641,0.119413,0.97672,0.139041
sipotion_1749658658497_slouch_0_81_jpg.rf.hAjfagPdCNIDOatES8pc.jpg,bad,0.424642,0.388952,0.998219,0.432085,0.365331,0.998854,0.436141,0.36415,0.998947,0.440075,0.363079,0.999062,0.429235,0.364451,0.998281,0.431377,0.362485,0.997967,0.433673,0.360521,0.998274,0.481391,0.365101,0.998631,0.474663,0.360377,0.99833,0.447961,0.412382,0.999054,0.445408,0.411127,0.998443,0.525088,0.469542,0.999694,0.559891,0.410086,0.99702,0.432856,0.617442,0.918554,0.490401,0.537406,0.086953,0.404258,0.490634,0.717482,0.413596,0.498861,0.084345,0.385955,0.488474,0.661608,0.397525,0.486958,0.111633,0.408968,0.470094,0.665871,0.391491,0.484392,0.109992,0.417848,0.470011,0.64501,0.402924,0.493443,0.116743,0.581388,0.747919,0.997584,0.610195,0.702906,0.988411,0.351422,0.762803,0.967971,0.386715,0.693997,0.328977,0.327626,1.017109,0.871583,0.342278,0.893292,0.169197,0.360774,1.067371,0.778337,0.362967,0.933189,0.280336,0.213659,1.010591,0.753066,0.239473,0.922615,0.206988
posture(290)_jpg.rf.6hiGSxE8LI0xqpMh7y0k.jpg,bad,0.251431,0.305752,0.999843,0.234773,0.287187,0.999593,0.233503,0.286829,0.999422,0.231758,0.286531,0.99972,0.22983,0.289991,0.999593,0.224808,0.291593,0.999316,0.2189,0.293908,0.999382,0.19749,0.306895,0.999811,0.18721,0.314719,0.999099,0.251911,0.335243,0.999799,0.244544,0.338662,0.999815,0.217721,0.426183,0.999805,0.175498,0.464815,0.9994,0.388412,0.488099,0.661048,0.419715,0.545567,0.9806,0.602543,0.505213,0.581355,0.615654,0.523869,0.925774,0.658125,0.50902,0.484435,0.667636,0.535412,0.887642,0.656275,0.513012,0.491409,0.668321,0.505509,0.886037,0.633203,0.521405,0.491213,0.646762,0.506152,0.874418,0.404734,0.630867,0.989578,0.393419,0.695882,0.994138,0.68105,0.617554,0.199121,0.733931,0.678278,0.764706,0.711457,0.80731,0.069463,0.675626,0.913263,0.736331,0.686397,0.838473,0.116207,0.638335,0.941375,0.739426,0.795002,0.865647,0.087063,0.750414,0.965037,0.637037
posture(161)_jpg.rf.v3pf54Gvqscn9YpQSqQ1.jpg,good,0.486435,0.242355,0.999607,0.500358,0.219718,0.999807,0.504135,0.219337,0.999789,0.509177,0.218898,0.999868,0.498004,0.219598,0.999768,0.500144,0.218954,0.999724,0.502576,0.218269,0.999853,0.543963,0.230838,0.999759,0.539932,0.228252,0.999848,0.49876,0.265448,0.999765,0.495613,0.264745,0.999341,0.560786,0.335044,0.999959,0.593626,0.333605,0.998882,0.509091,0.494047,0.992088,0.518057,0.494066,0.092304,0.312502,0.49891,0.991593,0.37405,0.547115,0.093629,0.264598,0.499405,0.987574,0.354296,0.551181,0.117486,0.257728,0.486838,0.986937,0.342003,0.537889,0.116808,0.272737,0.487731,0.979695,0.34759,0.537016,0.125929,0.551371,0.62711,0.999716,0.589882,0.625523,0.997995,0.246195,0.672015,0.973599,0.361044,0.677007,0.189831,0.270734,0.919267,0.963341,0.408014,0.876688,0.249262,0.309098,0.953757,0.967672,0.446122,0.901744,0.403886,0.186632,0.954366,0.935089,0.347436,0.945432,0.309177
posture(776)_jpg.rf.xlYtd3qSkIdlJkmYINUH.jpg,good,0.467286,0.223696,0.999159,0.482043,0.20175,0.999527,0.486434,0.201495,0.99944,0.491174,0.201402,0.999662,0.479269,0.200708,0.999574,0.481355,0.199647,0.99942,0.483957,0.198702,0.999635,0.524167,0.212004,0.999486,0.518722,0.209191,0.999524,0.479467,0.24726,0.999276,0.475683,0.246435,0.998484,0.532719,0.316333,0.999939,0.574247,0.319354,0.998784,0.463551,0.486012,0.991737,0.539368,0.494867,0.024681,0.271544,0.493209,0.980527,0.437611,0.591706,0.020017,0.213122,0.495279,0.967878,0.420266,0.610495,0.026004,0.205733,0.483146,0.966013,0.412936,0.601953,0.024606,0.228033,0.485354,0.943139,0.417895,0.5952,0.027435,0.49346,0.622954,0.999943,0.546702,0.623137,0.99948,0.185123,0.667422,0.971942,0.392458,0.679531,0.126966,0.177585,0.921705,0.951457,0.396591,0.871369,0.160028,0.207208,0.956765,0.959928,0.425403,0.902742,0.273153,0.091814,0.961426,0.905056,0.306715,0.927464,0.190511
posture(307)_jpg.rf.MyeApD4Zd7NZr2rmEFuz.jpg,bad,0.685248,0.231106,0.999982,0.713877,0.211728,0.99998,0.720973,0.214537,0.99998,0.728588,0.217274,0.999984,0.707302,0.206044,0.999966,0.708975,0.204371,0.999959,0.711263,0.202579,0.999972,0.773278,0.242902,0.999987,0.752087,0.226852,0.999978,0.69099,0.266901,0.999991,0.68198,0.258789,0.999971,0.785179,0.408904,0.999986,0.715778,0.336422,0.99985,0.583514,0.616606,0.994838,0.553063,0.448535,0.274712,0.399969,0.536237,0.960726,0.438354,0.443866,0.255997,0.350466,0.530544,0.922864,0.405183,0.443253,0.260373,0.364163,0.499759,0.928653,0.403342,0.427433,0.26235,0.380874,0.499183,0.917468,0.420416,0.441852,0.280155,0.521527,0.661438,0.999974,0.494443,0.574226,0.999912,0.16224,0.620558,0.991879,0.219442,0.464643,0.69251,0.212048,0.838662,0.94305,0.149132,0.673478,0.511549,0.252693,0.877833,0.931077,0.167316,0.714605,0.473703,0.095011,0.911223,0.91669,0.032958,0.724229,0.488176
posture(488)_jpg.rf.JzzJ3XcwEaMbxmXDmcp9.jpg,good,0.478771,0.123815,0.999313,0.467896,0.102183,0.999055,0.466252,0.101614,0.998916,0.464283,0.101037,0.999215,0.465402,0.103094,0.999127,0.462002,0.103195,0.998937,0.458299,0.103332,0.999041,0.438945,0.109052,0.998312,0.43703,0.111805,0.999194,0.473586,0.143979,0.998553,0.469824,0.143667,0.999141,0.417174,0.23878,0.999422,0.40791,0.242475,0.99967,0.415009,0.378552,0.032104,0.453587,0.389228,0.970805,0.492768,0.427813,0.081751,0.56915,0.373034,0.88201,0.514516,0.442992,0.131404,0.598764,0.39253,0.870759,0.520238,0.427011,0.140964,0.604432,0.374077,0.870445,0.51151,0.420909,0.145986,0.590061,0.368769,0.828296,0.411059,0.54286,0.998644,0.391406,0.551783,0.997413,0.538366,0.699189,0.65804,0.507325,0.732657,0.962596,0.474548,0.831915,0.722073,0.362887,0.842464,0.903443,0.444742,0.844831,0.686087,0.323944,0.837371,0.766169,0.514463,0.890531,0.793011,0.390187,0.92531,0.898872
posture(417)_jpg.rf.xOjDHn0YuhikEqbaZme1.jpg,good,0.514631,0.241851,0.999194,0.506418,0.228243,0.999352,0.505644,0.227394,0.99899,0.504637,0.226462,0.999496,0.503099,0.229574,0.999383,0.500056,0.229811,0.999063,0.496258,0.230318,0.999465,0.481999,0.232881,0.999231,0.473245,0.238475,0.999549,0.510788,0.256099,0.999599,0.50493,0.258389,0.999804,0.46801,0.325779,0.999468,0.453809,0.332971,0.999907,0.525295,0.433419,0.12173,0.489378,0.454057,0.986167,0.616547,0.494898,0.106599,0.621463,0.489486,0.95821,0.63799,0.495389,0.124575,0.650505,0.502002,0.928204,0.640594,0.491299,0.128553,0.660395,0.487859,0.920282,0.629153,0.492038,0.132811,0.649881,0.485816,0.878258,0.483798,0.536193,0.998016,0.463507,0.547953,0.997792,0.632832,0.603009,0.139354,0.636271,0.572096,0.880945,0.649695,0.747432,0.27058,0.676618,0.751096,0.944564,0.630577,0.771482,0.46514,0.660324,0.78443,0.921697,0.714448,0.778264,0.338403,0.752777,0.777186,0.904065
